item_name,item_category
PCBA RoHS Return Electrode Circuit,Printed Circuit Board Assembly
PCA LOAD BOX SERIES,Printed Circuit Board Assembly
PCA LOAD BOX LOW VALUE,Printed Circuit Board Assembly
PCA LOAD BOX SERIES,Printed Circuit Board Assembly
PCA LOAD BOX HIGH VALUE,Printed Circuit Board Assembly
"PCBA, TEMP MEASURE SYST.",Printed Circuit Board Assembly
"PCBA, TEMP MEASURE SYST.",Printed Circuit Board Assembly
"Inductor Assembly, 14.7uH",Inductor
"Inductor Assembly, 14.7uH",Inductor
"Inductor Assembly, 393uH, 3622 CAN",Inductor
"Inductor Assembly, 393uH, 3622 CAN",Inductor
"Inductor Assembly, 42uH, 3622 CAN",Inductor
"Inductor Assembly, 42uH, 3622 CAN",Inductor
"PCBA, TEMP MEASURE SYST.",Printed Circuit Board Assembly
"PCBA, 150W SYSTEM BOARD",Printed Circuit Board Assembly
PCBA 150W SYSTEM BOARD,Printed Circuit Board Assembly
"PCBA, 150W SYSTEM BOARD",Printed Circuit Board Assembly
"PCBA, Display, DFine",Printed Circuit Board Assembly
"PCBA, Display, DFine",Printed Circuit Board Assembly
"PCBA, Hydro Controller",Printed Circuit Board Assembly
"PCBA, Hydro controller",Printed Circuit Board Assembly
"PCBA, AMP INTERFACE",Printed Circuit Board Assembly
"PCBA, AMP INTERFACE BD",Printed Circuit Board Assembly
"PCBA, END POINT DETECTOR",Printed Circuit Board Assembly
"PCBA, END POINT DETECTOR",Printed Circuit Board Assembly
"Housing, RoHS, PCMCIA Card, Right Bottom Ejector",Misc. Mechanical
"Cap, RoHS, 330uF, 10V, 10%, Tant, SMTX",Capacitor
"Cap, RoHS, 15pF, 25V, 5%, NP0, 0201",Capacitor
"Capacitor, RoHS, 2.2uF, 25V, 10%, X7R, 0805",Capacitor
"CAP, RoHS, CER, 3.3nF, 50V, 5%, 0805",Capacitor
"CAPACITOR, RoHS, CER, 1.0UF, 450V, 20%, 2220",Capacitor
"CAPACITOR, RoHS, CER, 10nF, 50V, 5%, 0805",Capacitor
"CAPACITOR, RoHS, ALUM, 47uF, 35V, 20% ,6x6",Capacitor
"CAPACITOR, RoHS, CER, 47UF, 10V, 20%, 1206",Capacitor
"CAPACITOR, RoHS, CER, 100pF, 50V, 5%, 0805",Capacitor
"CAPACITOR, RoHS, 100PF 1KV 10% NP0 1812",Capacitor
"CAPACITOR, RoHS, ALUM, 100uF, 400V, 20%, 18x30",Capacitor
"CAPACITOR, RoHS, ALUM, 2200uF, 16V, 20%, SMT",Capacitor
"CAPACITOR, RoHSM, ALUM, 1000uF, 35V, 20%, SMT",Capacitor
"CAP, RoHS, CER, 330PF, 2KV, 5%, 1210",Capacitor
"Cap, RoHS, 15 pF, 50V, 1%, C0G, 0402",Capacitor
"Cap, RoHS, 1000pf, 2kv, 10%, X7R, 1206",Capacitor
"Cap, 1uF, 250V, Safety, ECQ-UV, Rad",Capacitor
"Cap,0.1uF,250V,Safety,ECQ-UV,Radial",Capacitor
"Cap, RoHS, MF, 250V, ECQ-UV, 20%, Radial",Capacitor
"Cap, 10uF, 35V, Tant",Capacitor
"Cap,100uF,6V,Tant",Capacitor
"Cap, 100uF, 20V, 10%, TANT",Capacitor
"Cap, 100uF, 6.3V, Tant, D",Capacitor
"Cap, 100uF, 16V, 10%, Tant",Capacitor
"CAP,1UF,16V,TANT",Capacitor
"Cap,10uF,16V,Tant",Capacitor
"Cap,4.7uf,16V,Tant",Capacitor
"Cap,47uf,16V,Tant",Capacitor
"Cap,4.7uF,20V,Tant",Capacitor
"CAP,1UF,35V,TANT",Capacitor
"Cap,33uF,35V,10%,SMD",Capacitor
"Cap,47uf,35V,Tant",Capacitor
"Cap,47uF,10V,Tant,Axial",Capacitor
"Cap,1uf,16V,Tant,SurMount",Capacitor
"Cap,RoHS,1uf,16V,Tant,SurMount",Capacitor
"Cap,10uF,16V,Tant,SMD",Capacitor
"Cap, RoHS, 10uF,16V, Tant,S MD",Capacitor
"Cap,33uF,16V,Tant,Surface Mount",Capacitor
"Cap, RoHS, 33uF, 16V, Tant, 10%, SMT",Capacitor
"Cap,47uF,6.3V,Tant,Surface Mount",Capacitor
"Cap, RoHS, 47uF, 6.3V, 20%, Tant, SMD",Capacitor
"Cap,47uF,10V,10%,Tant,'D',SMT",Capacitor
"Cap, 68uF, 20V, 10%, Tant, Surface",Capacitor
"Cap, 100uF, 10V, 10%, Tant, Surface",Capacitor
"CAP,ROHS,100UF,10V,10%,TANT,SMD",Capacitor
"Cap,100uF,16V,10%,Tant,SMD",Capacitor
"Cap,RoHS,100uF,16V,10%,Tant,SMD",Capacitor
"Cap,150uF,16V,10%,Tant,SMD",Capacitor
"CAP,ROHS,150UF,16V,10%,TANT,SMD",Capacitor
"Cap, 22uF, 16V, 10%, Tant, SMT D",Capacitor
"Cap, 22uF, 16V, 10%, Tant, SMT D",Capacitor
"CAP,ROHS,22UF, 16V, 10%, TANT, SMT",Capacitor
"Cap, 10uF, 10V, 10%, Tant, Low ESR,",Capacitor
"Cap, 10uF, 6.3V, 10%, Tant, Low ESR",Capacitor
"Cap, 2.2uF, 16V, 10%, TANT, SMT A",Capacitor
"CAP,ROHS, 2.2UF, 16V, 10%, TANT, SM",Capacitor
"Cap, 10uF, 25V, 10%, TANT, SMT 6032",Capacitor
"CAP,ROHS,10UF, 25V, 10%, TANT, SMT",Capacitor
"Cap, 10uF, 10V, 10%, TANT, SMT A",Capacitor
"CAP,ROHS,10UF, 10V, 10%, TANT, SMT",Capacitor
"Cap, 100uF, 25V, 10%, TANT, SMT X",Capacitor
"CAP,ROHS,100UF, 25V, 10%, TANT, SMT",Capacitor
"Cap, 47uF, 25V, 20%, TANT, SMT D",Capacitor
"Cap, RoHS, 47uF, 25V, 10%, Tant, 29",Capacitor
Cap 10uF 25V,Capacitor
"CAP,10000pF, 1000V, 5%, Metal Poly",Capacitor
"Cap, RoHS, 10000pF, 1000V, 5%, Metal Poly Pro, CM.6",Capacitor
"CAP,1000pF, 1250V, 5%, Metal Poly P",Capacitor
"CAP, RoHS, 1000pF, 1250V, 5%, Metal Poly Pro, CM.6",Capacitor
"CAP,ROHS, 0.1UF, 160V, 5%, METALIZE",Capacitor
"Cap, RoHS, 1000pF, 1600V, 5%, CM400",Capacitor
"CAP,0.1uF, 1250V, 5%, Metallized Po",Capacitor
"Cap, 0.047uF, 100V, 5%, PPS Film",Capacitor
"Cap, 0.47uF, 100V, 5%, PPS Film",Capacitor
"Cap, 0.0047uF, 100V, 5%, PPS Film",Capacitor
"Cap, 0.047uF, 630V, 5%, Metalized Polypropylene",Capacitor
"Cap, RoHS, 0.047uF, 630V, 5%, Metalized Polypropylene",Capacitor
"Cap, 0.015uF, 1000VDC, Metal Poly,5",Capacitor
"Cap, RoHS, 0.015uF, 1000VDC, Metal",Capacitor
"Cap, 0.015uF, 1600V, 5%, Metal Poly",Capacitor
"Cap,0.1uF,50V,MF,5%",Capacitor
"Cap,1.0uF,100V,MF",Capacitor
"Cap, RoHS, 1.0uF, 100V, 10%, MF, Radial",Capacitor
CAP RoHS 1800pF 1250V 5% Metallized Polypropylene,Capacitor
"CAP,0.022uF, 1000V, 5%, Metalized P",Capacitor
"CAP,ROHS, 0.022UF, 1000V, 5%, METAL",Capacitor
"CAP,2200pF, 1250V, 5%, Metal Polypr",Capacitor
"CAP, RoHS, 2200pF, 1250V, 5%, Metal Polypro, CM.6",Capacitor
"Cap,.047uf,50V,MF,5%",Capacitor
"Cap,0.47uF,50V,MF,5%",Capacitor
"Cap,1.0uf,50V,Polystr,5%",Capacitor
"CAP,ROHS, 4700PF, 1000V, 5%, METALI",Capacitor
"Cap, 5.6nF, 5%, 1250V, Metal Polypr",Capacitor
"CAP,ROHS,5.6NF, 5%, 1250V, METAL PO",Capacitor
"Cap,.001uf,50V,Polyp,2%",Capacitor
"Cap,1.0uf,50V,MF,5%",Capacitor
"Cap, RoHS, 1.0uf, 50V, MF, 5%, Radial",Capacitor
"Cap,0.015uF,630V,Polypropylene,5%",Capacitor
"Cap, RoHS, 0.015uF, 630V, 5%, Polypropylene, Radial",Capacitor
"Cap, .0022uF, 630V, Polypropylene",Capacitor
"Cap, .0039uF, 630V, Polypropylene",Capacitor
"Cap, .001uF, 630V, 5%, Polypropylen",Capacitor
"Cap, 4700pf, 630v, 5%, polypropylen",Capacitor
"Cap, 0.1uF, 630V, 5%",Capacitor
"Cap, RoHS, 0.1uF, 630V, 5%",Capacitor
"Cap, 0.015uF, 630V, CM400, Polyprop",Capacitor
"Cap, 0.022uF, 630V, CM400, Polyprop",Capacitor
"Cap, 1.0uF, 630V, 3%, Metal Polypro",Capacitor
"Cap, .1uF, 630V, 3%, Metal Polypro",Capacitor
"Cap, 0.1uF, 630V, 3%, Metal Polypro",Capacitor
"Cap, RoHS, 0.1uF, 630V, 3%, Metal Polypropylene",Capacitor
"Cap, 0.01uF, 630V, Metalized Polypr",Capacitor
"Cap,RoHS, 0.1uf, 630V, Metalized Po",Capacitor
"Cap,0.047uF,400V,Polypropylene,5%",Capacitor
"Cap,0.01uF,630V,Polyp,5%",Capacitor
"Cap,0.022uF,630V,Polypropylene,5%",Capacitor
"Cap, 10000pF, 1000VDC, Metal Poly,",Capacitor
"CAP,ROHS,10000PF, 1000VDC, METAL PO",Capacitor
"Cap,RoHS, 2200pF, 1000V, 5%, Metal",Capacitor
"Cap, 0.022uF, 1250V, 5%, Metal Poly",Capacitor
"CAP,ROHS,0.022UF, 1250V, 5%, METAL",Capacitor
"Cap,4700pF, 1250V, Metalized Polypr",Capacitor
"Cap, RoHS, 4700pF, 1250V, Metalized Polypropylene",Capacitor
"Cap,10000pF, 1250V, Metalized Polyp",Capacitor
"Cap,0.01uF,630V,Polyp,5%",Capacitor
"Cap,68000pF, 1250V, Metalized Polyp",Capacitor
"Cap,RoHS,82000pF, 1250V, Metalized Polyp",Capacitor
"Cap, 2200pF, 1000VDC, Metal Poly, C",Capacitor
"CAP,ROHS, 2200PF, 1600V, 5%, METALI",Capacitor
"Cap,RoHS, 2200pF, 5%, 1600V, Metal Polypropylene",Capacitor
CAP .0022uF 1600V,Capacitor
"Cap,.01uF,50V,MF,5%",Capacitor
"Cap,100uf,16V,Elctlt",Capacitor
"Cap, RoHS, 100uF, 16V, 20%, Elect, Radial",Capacitor
"Cap,100uF, 250V, 20%, Elect",Capacitor
"CAP,ROHS,100UF, 250V, 20%, ELECT",Capacitor
"Cap, 120uF, 50V, ELECT",Capacitor
"Cap, 220uF, 50V, Elect, M, Radial L",Capacitor
"Cap,RoHS, 100uF, 160V, 20%, Elect, Radia",Capacitor
"Cap,330uF, 160V, 20%, ELECT",Capacitor
"CAP,ROHS,330UF, 160V, 20%, ELECT",Capacitor
"Cap, RoHS, 47uH, 160V, 20%, Elect",Capacitor
"Cap,33uF,25V,Electrolytic,SMT",Capacitor
"Cap, 100uF, 35V, Elect",Capacitor
"Cap,10uf,35V,Elctlt",Capacitor
"Cap, RoHS, 10uF,35V,Elect",Capacitor
"Cap,100uf,35V,Elctlt",Capacitor
"Cap, 1000uF, 35V, Elect",Capacitor
"Cap,100uF, 35V,Elect,10%,SMT F",Capacitor
"Cap,RoHS,100uF, 35V,Elect,20%,SMT F",Capacitor
"Cap, 220uF, 35V, Elect, 10%, SMT F",Capacitor
"CAP,ROHS,10UF, 400V, 20%, RB.2/.5,",Capacitor
"Cap,33uF,10V,Electrolytic,SMT",Capacitor
"Cap, 100uF, 100V, 20%, Elect, SMT",Capacitor
"Capacitor, Alum Elec., 105C, 2000Hr",Capacitor
"Capacitor, Alum Elec., 105C, 2000Hr",Capacitor
"CAPACITOR, RoHS, ALUM, 100uF, 35V, 20%, SMT",Capacitor
"CAPACITOR, RoHS, ALUM, 470uF, 35V, 20%, SMT",Capacitor
"CAP, ALUM, 470UF, 400V, 20%, 30x40",Capacitor
"Cap, 100uF, 50V, 20%, Elect, FC, Ra",Capacitor
"Cap,1500uF,50V,Elect",Capacitor
"Cap, RoHS, 1500uF, 50V, 20%, Elect, Radial",Capacitor
"Cap,3.3uF,50V,Elect,Bipolar",Capacitor
"Cap,100uF,6.3V,Elect",Capacitor
"Cap,1000uF,6.3V,Elect",Capacitor
"Cap, 33uF, 50V, 10%, Elect",Capacitor
"Cap, 1000uF, 63V, 20%, Elect.",Capacitor
"Cap,33uF, 63V, 10%, Elect, SMT F",Capacitor
"CAP,ROHS, 33UF, 63V, 20%, ELECT, SM",Capacitor
"Cap,470uF, 63V, Elect, 10%, SMT J16",Capacitor
"Cap,RoHS,470uF, 63V, Elect, 10%, SMT J16",Capacitor
"Cap,680uF,63V,Elect,10%,FK SMD",Capacitor
"Cap,RoHS,680uF,63V,Elect,10%,FK SMD",Capacitor
"Cap, 47uF, 63V, Elect, 20%, SMT F",Capacitor
"CAP,ROHS,47UF, 63V, ELECT, 20%, SMT",Capacitor
"Cap, 10uF, 25V, Mini Elect. (KA)",Capacitor
"Cap,33uF,35V,Elctlt,SMT",Capacitor
"Cap, 330uF, 25V, 20%, SMT F",Capacitor
